day;hour; production 
2012-01-01;1; 0,778 
2012-01-01;2; 0,766 
2012-01-01;3; 0,745 
2012-01-01;4; 0,763 
2012-01-01;5; 0,800 
2012-01-01;6; 0,799 
2012-01-01;7; 0,801 
2012-01-01;8; 0,807 
2012-01-01;9; 0,807 
2012-01-01;10; 0,807 
2012-01-01;11; 0,808 
2012-01-01;12; 0,801 
2012-01-01;13; 0,794 
2012-01-01;14; 0,791 
2012-01-01;15; 0,785 
2012-01-01;16; 0,768 
2012-01-01;17; 0,757 
2012-01-01;18; 0,740 
2012-01-01;19; 0,718 
2012-01-01;20; 0,710 
2012-01-01;21; 0,698 
2012-01-01;22; 0,684 
2012-01-01;23; 0,674 
2012-01-01;24; 0,667 
2012-01-02;1; 0,659 
2012-01-02;2; 0,647 
2012-01-02;3; 0,642 
2012-01-02;4; 0,636 
2012-01-02;5; 0,629 
2012-01-02;6; 0,622 
2012-01-02;7; 0,616 
2012-01-02;8; 0,604 
2012-01-02;9; 0,587 
2012-01-02;10; 0,579 
2012-01-02;11; 0,574 
2012-01-02;12; 0,564 
2012-01-02;13; 0,555 
2012-01-02;14; 0,555 
2012-01-02;15; 0,560 
2012-01-02;16; 0,547 
2012-01-02;17; 0,534 
2012-01-02;18; 0,525 
2012-01-02;19; 0,518 
2012-01-02;20; 0,515 
2012-01-02;21; 0,511 
2012-01-02;22; 0,508 
2012-01-02;23; 0,507 
2012-01-02;24; 0,509 
2012-01-03;1; 0,510 
2012-01-03;2; 0,510 
2012-01-03;3; 0,509 
2012-01-03;4; 0,507 
2012-01-03;5; 0,507 
2012-01-03;6; 0,509 
2012-01-03;7; 0,510 
2012-01-03;8; 0,507 
2012-01-03;9; 0,504 
2012-01-03;10; 0,501 
2012-01-03;11; 0,230 
2012-01-03;12; 0,367 
2012-01-03;13; 0,485 
2012-01-03;14; 0,466 
2012-01-03;15; 0,468 
2012-01-03;16; 0,465 
2012-01-03;17; 0,461 
2012-01-03;18; 0,468 
2012-01-03;19; 0,465 
2012-01-03;20; 0,464 
2012-01-03;21; 0,465 
2012-01-03;22; 0,459 
2012-01-03;23; 0,452 
2012-01-03;24; 0,108 
2012-01-04;1; 0,419 
2012-01-04;2; 0,419 
2012-01-04;3; 0,418 
2012-01-04;4; 0,420 
2012-01-04;5; 0,412 
2012-01-04;6; 0,411 
2012-01-04;7; 0,410 
2012-01-04;8; 0,404 
2012-01-04;9; 0,404 
2012-01-04;10; 0,402 
2012-01-04;11; 0,399 
2012-01-04;12; 0,397 
2012-01-04;13; 0,397 
2012-01-04;14; 0,402 
2012-01-04;15; 0,400 
2012-01-04;16; 0,095 
